の,of,no
牡馬,Stallion,osuuma
ワイン,wine,wain
受け取る,receive,uketoru
踊る,dance,odoru
レーダー,radar,reedaa
夜間,At night,yakan
東映 (Company name: see Toei Company#Japanese|:w:Toei Company|Toei Company),Toei (Company name: see Toei Company # Japanese |: w: Toei Company | Toei Company),touei(Company name: see Toei Company#Japanese|:w:Toei Company|Toei Company)
地図,map,chizu
南海,Nankai,nankai
歯,tooth,ha
ダブルス,Doubles,daburusu
ブラウン,Brown,buraun
打者,batter,dasha
満州,Manchuria,manshuu
菌,Bacteria,kin
非難,Condemnation,hinan
相談,Consultation,soudan
印象,impression,inshou
寄せる,Gather,yose ru
暫定,Interim,zantei
約束,Promise,yakusoku
下院,House of Representatives,kain
ナポレオン,Napoleon,naporeon
共産,Communism,kyousan
ナンバー,number,nanbaa
肩,shoulder,kata
観察,Observation,kansatsu
運航,Operating,unkou
管区,Jurisdiction,kanku
雇用,employment,koyou
多摩,Tama,tama
選定,Selection,sentei
キャンプ,camp,kyanpu
題材,Theme,daizai
鉱山,mine,kouzan
ラウンド,round,raundo
外務,Foreign affairs,gaimu
勲章,Medal,kunshou
アート,Art,aato
エドワード,Edward,edowaado
割り合い,Proportion,wari ai
容量,capacity,youryou
材,Wood,zai
ヒトラー,Hitler,hitoraa
猿,monkey,saru
牽引,Tow, kenin
晩年,Later life,bannen
学名,Scientific name,gakumei
助教授,Assistant professor,jokyouju
文部,Ministry of Education,monbu
育てる,Raise,sodate ru
英雄,hero,eiyuu
ヘビー,heavy,hebii
任じる,Nominate,nin jiru
解除,Release,kaijo
一貫,Consistency,ikkan
ツール,tool,tsuuru
調べる,Investigate,shirabe ru
簡易,Simplicity, kani
柔道,judo,juudou
フロント,front,furonto
駐車,Parking,chuusha
古くから,From ancient times,furuku kara
着用,wear,chakuyou
偵察,reconnaissance,teisatsu
米軍,U.S. Army,beigun
移植,Porting,ishoku
祐,Yu,suke
幼少,Childhood,youshou
構内,Campus,kounai
東宝 (Company name: see Toho#Japanese|:w:Toho|Toho),Toho (Company name: see Toho # Japanese |: w: Toho | Toho),touhou(Company name: see Toho#Japanese|:w:Toho|Toho)
審議,Deliberation,shingi
相撲,Sumo wrestling,sumou
表彰,Commendation,hyoushou
ブルガリア,Bulgaria,burugaria
創,Wounds,sou
犠牲,Sacrifice,gisei
前面,Front of,zenmen
フィリップ,Philip,firippu
繋ぐ,connect,tsunagu
魔,Devil,ma
放棄,Abandonment,houki
広域,Wide area,kouiki
不動産,real estate,fudousan
東海道,Tokaido,toukaidou
法学,Law,hougaku
奏者,player,sousha
診断,Diagnosis,shindan
没する,His death,bossu ru
不満,Discontent,fuman
運賃,fare,unchin
白人,White,hakujin
って,I,tte
次に,next,tsugini
農,Agriculture,nou
番人,Watchman,bannin
ようやく,at last,youyaku
動員,mobilization,douin
市町村,Cities,shichouson
君主,Monarch,kunshu
国連,United Nations,kokuren
船舶,Ship,senpaku
詰まる,Clogging,tsuma ru
毛利,Mori,mouri
決議,resolution,ketsugi
当局,authorities,toukyoku
運輸,transportation,unyu
メッセージ,message,messeeji
クロアチア,Croatia,kuroachia
事例,Example,jirei
人形,doll,ningyou
損傷,damage,sonshou
フロリダ,Florida,furorida
録,Recording,roku
トム,Tom,tomu
甲板,deck,kanpan
神学,theology,shingaku
見解,Opinion,kenkai
会館,Hall,kaikan
請求,Claim,seikyuu
源氏,Genji,genji
対決,Showdown,taiketsu
宮殿,Palace,kyuuden
鋼,steel,kou
自主,Autonomy,jishu
内外,Inside and outside,naigai
コミックス,Comics,komikkusu
国軍,Armed Forces,kuni gun
運河,canal,unga
双,Pair,sou
トレード,trade,toreedo
退団,Resigning,taidan
提示,Presentation,teiji
停留所,Bus stop,teiryuusho
背,A back,se
月間,Month,gekkan
労,Ro,rou
天体,Heavenly body,tentai
ニュージーランド,new Zealand,nyuujiirando
脇,side,waki
厚い,thick,atsui
高原,Plateau,kougen
シングルス,Singles,shingurusu
敗戦,defeat,haisen
混合,mixture,kongou
ヴィルヘルム,Wilhelm,viruherumu
児,child,ji
缶,can,kan
伝承,Lore,denshou
ラグビー,rugby,ragubii
総理,Prime minister,souri
刺,thorn,toge
剛,Tsuyoshi,tsuyoshi
デザイナー,designer,dezainaa
艦長,Captain,kanchou
最新,latest,saishin
養成,training,yousei
アラブ首長国連邦,United Arab Emirates,arabu shuchoukokurenpou
ボス,boss,bosu
蓮,lotus,hasu
敷く,Lay out,shiku
大気,atmosphere,taiki
やはり,also,yahari
航路,Route,kouro
応用,application,ouyou
並み,Average,nami
署名,signature,shomei
牧,Maki,maki
土曜日,Saturday,doyoubi
獣,beast,kemono
酸素,oxygen,sanso
解,Solutions,kai
上流,Upper stream,jouryuu
間隔,interval,kankaku
搭乗,Boarding,toujou
マスター,Master,masutaa
乗客,passenger,joukyaku
東方,Orient,touhou
駐屯,Stationing,chuuton
黒人,Negro,kokujin
直す,cure,naosu
寛永,Kanei, kanei
明るい,bright,akaru i
薄い,thin,usui
新田,Nitta,nitta
ボックス,box,bokkusu
賢,Ken,satoshi
使える,Available,tsukae ru
口径,Caliber,koukei
合唱,Chorus,gasshou
日常,Everyday,nichijou
突破,Breakthrough,toppa
厚生,Welfare,kousei
乗せる,Place,nose ru
音源,sound source,ongen
取れる,Come off,tore ru
軽量,lightweight,keiryou
探偵,Detective,tantei
プロセス,process,purosesu
歩く,walk,aruku
価,Price,atai
業績,performance,gyouseki
回す,turn,mawasu
一時的,temporary,ichijiteki
当てる,Hit,ate ru
粒子,particle,ryuushi
農民,farmers,noumin
日曜日,Sunday,nichiyoubi
宇都宮,Utsunomiya,utsunomiya
評議,Council,hyougi
ワイド,wide,waido
投稿,Contribution,toukou
前提,Premise,zentei
町村,Towns and villages,chouson
バージニア,Virginia,baajinia
ルーマニア,Romania,ruumania
寝る,sleep,neru
演じる,play,enji ru
右衛門,MigiEmon,uemon
切り替える,Change,kirikae ru
検察,Prosecutor,kensatsu
戦術,tactics,senjutsu
会計,Treasurer,kaikei
数値,Numeric value,suuchi
入賞,Winning a prize,nyuushou
ショップ,shop,shoppu
日曜,Sunday,nichiyou
あなた,you,anata
現行,current,genkou
水域,Water area,suiiki
疑う,doubt,utagau
ダービー,Derby,daabii
弥,Wataru,ya
課題,Task,kadai
後部,rear end,koubu
消す,Extinguish,kesu
見付ける,Discover,mitsuke ru
逆転,Reversal,gyakuten
著しい,Remarkable,ichijirushi i
瀬戸,Seto,seto
レストラン,Restaurant,resutoran
頻繁,frequent,hinpan
従兄弟,The cousin,itoko
欲しい,Wanted,hoshii
山城,Mountain castle,yamashiro
演技,acting,engi
パフォーマンス,performance,pafoomansu
山陽,Sanyo,sanyou
ペア,pair,pea
報,Broadcast,hou
中日,China and Japan,chuunichi
義塾,Private school,gijuku
衰退,decline,suitai
官僚,Officials,kanryou
商人,merchant,shounin
宮廷,court,kyuutei
会見,Interview,kaiken
恋愛,love, renai
新型,New style,shingata
町名,Town name,choumei
降格,Demoted,koukaku
悩む,Worry,nayamu
教員,Teaching staff,kyouin
開校,Opened,kaikou
判,Stamp,han
ないし,It does not,naishi
確率,probability,kakuritsu
環状,Annular,kanjou
オンライン,online,onrain
互換,Interchangeable,gokan
官,Government,kan
マラソン,marathon,marason
黄金,Gold,ougon
裕,Hiroshi,hiroshi
豪,Australia,gou
上手い,Clever,umai
客車,Passenger Car,kyakusha
ジャクソン,Jackson,jakuson
反映,Reflection, hanei
征服,Conquest,seifuku
コート,coat,kooto
水戸,Mito,mito
浴びる,Bathe,abi ru
通勤,Commuting to work,tsuukin
人数,Number of people,ninzuu
挿入,Insertion,sounyuu
楽章,movement,gakushou
車種,Car model,shashu
褐色,brown,kasshoku
適切,Adequate,tekisetsu
顕,Sensible,ken
時刻,Times of Day,jikoku
宏,Hiroshi,hiroshi
芸人,Performer,geinin
終盤,Final stage,shuuban
前方,Frontward,zenpou
疾患,disease,shikkan
速い,fast,hayai
気付く,notice,kizuku
飼育,Breeding,shiiku
事前,In advance,jizen
グランド,ground,gurando
圧縮,compression,asshuku
握る,Seize,nigiru
横断,Crossing,oudan
ヤング,Young,yangu
届く,reach,todoku
元禄,Genroku,genroku
バイオリン,violin,baiorin
稼働,Operation,kadou
どのよう,How,donoyou
インターナショナル,International,intaanashonaru
中断,Interruption,chuudan
内戦,civil war,naisen
恐らく,perhaps,osora ku
割る,Divide,waru
循環,Circulation,junkan
豊か,rich,yutaka
青山,Aoyama,aoyama
若者,Youth,wakamono
パートナー,partner,paatonaa
命じる,Command,meiji ru
大人,grown up,otona
突入,A rush,totsunyuu
雅,Ya,masa
協同,Cooperative,kyoudou
コメディー,comedy,komedii
詰める,pack,tsume ru
すら,Shaved,sura
日々,day to day,hibi
甲子園,Koshien,koushien
構える,Set up,kamae ru
建立,Erection,konryuu
阪急 (Company name: see Hankyu Railway#Japanese|:w:Hankyu Railway|Hankyu Railway),Hankyu (Company name: see Hankyu Railway # Japanese |: w: Hankyu Railway | Hankyu Railway),hankyuu(Company name: see Hankyu Railway#Japanese|:w:Hankyu Railway|Hankyu Railway)
繰り広げる,Unfold,kurihiroge ru
考案,Idea,kouan
創作,Work,sousaku
儲ける,Earn,mouke ru
有機,Organic,yuuki
砲塔,Turret,houtou
トヨタ,Toyota,toyota
島津,Shimadzu,shimazu
市営,Municipal management,shiei
騎乗,Riding,kijou
乗り場,Landing,noriba
飛行機,airplane,hikouki
炉,Furnace,ro
意思,Intention,ishi
主として,mainly,shuto shite
チェコ,Czech Republic,cheko
コント,Comte,konto
健,Health,takeshi
棒,rod,bou
テロ,terrorism,tero
命中,hit,meichuu
時計,clock,tokei
外観,appearance,gaikan
読者,reader,dokusha
正面,front,shoumen
工作,Work,kousaku
改編,Reorganization,kaihen
焼く,Bake,yaku
広げる,spread,hiroge ru
疑問,Question,gimon
サンフランシスコ,San Francisco,sanfuranshisuko
増やす,increase,fuyasu
増大,Increase,zoudai
教室,Classroom,kyoushitsu
社会党,Socialist Party,shakaitou
オリコン,Oricon,orikon
コロンビア,Columbia,koronbia
縦,Length,tate
封,Seal,fuu
実力,Merit,jitsuryoku
マッチ,Match,matchi
パート,part,paato
心地,feeling,kokochi
比例,Proportion,hirei
終点,end point,shuuten
灯,light,tomoshibi
冠する,Bears,kansu ru
批評,Criticism,hihyou
戦場,battlefield,senjou
題,Title,dai
回収,Collection,kaishuu
加速,acceleration,kasoku
東南,Southeast,tounan
変,Strange,hen
ショッピング,shopping,shoppingu
何等か,"What, etc.",nanra ka
卯,Rabbit,u
紋,Crest,mon
原理,principle,genri
任期,Term of office,ninki
中華民国,Taiwan,chuuka minkoku
審判,Referee,shinpan
論争,Controversy,ronsou
リトアニア,Lithuania,ritoania
任ずる,Appoint,nin zuru
素材,Raw materials,sozai
豊富,Wealth,houfu
勝負,Game,shoubu
配属,Assignment,haizoku
開放,Open,kaihou
シンガポール,Singapore,shingapooru
種目,Event,shumoku
将棋,Japanese chess,shougi
前者,former,zensha
通貨,currency,tsuuka
修士,A master,shuushi
タッチ,touch,tatchi
二重,Double,nijuu
電源,Power supply,dengen
模型,model,mokei
モチーフ,motif,mochiifu
証言,testimony,shougen
ブック,book,bukku
テープ,tape,teepu
決意,Determination,ketsui
チベット,Tibet,chibetto
ドライブ,drive,doraibu
こなす,Konasu,konasu
隊長,Commanding officer,taichou
三国,Mikuni,mikuni
配布,distribution,haifu
遡る,Go back,sakanoboru
活発,Lively,kappatsu
傍ら,beside,katawara
朱,Zhu,shu
百貨店,Store,hyakkaten
財務,Financial,zaimu
夕方,evening,yuugata
眼,eye,me
堺,Sakai,sakai
大坂,Osaka,oosaka
故郷,Hometown,kokyou
タンク,tank,tanku
認可,Approval,ninka
合戦,battle,kassen
半年,Half a year,hantoshi
有料,Toll,yuuryou
三井,Mitsui,mitsui
赴く,go,omomuku
昔,Olden days,mukashi
底,bottom,soko
噂,rumor,uwasa
グレード,grade,gureedo
探検,expedition,tanken
文章,Sentence,bunshou
限界,limit,genkai
秦,Qin,shin
法学部,Law faculty,hougakubu
同人,Same person,doujin
レンズ,lens,renzu
従軍,Military,juugun
伸ばす,extend,noba su
悪魔,Demon,akuma
内務,Internal affairs,naimu
独占,Monopoly,dokusen
格闘,Grappling,kakutou
動力,power,douryoku
南アフリカ,South Africa,minami afurika
上級,Senior,joukyuu
パーティー,party,paateii
入門,getting started,nyuumon
センチ,centimeter,senchi
衝撃,impact,shougeki
タイヤ,tire,taiya
神宮,Shinto shrine,jinguu
衛生,Health,eisei
才能,talent,sainou
橋本,Hashimoto,hashimoto
法案,bill,houan
ウエスト,West,uesuto
ウッド,Wood,uddo
済む,Need,sumu
水上,Aquatic,suijou
マイ,My,mai
レンタル,rental,rentaru
排除,Exclusion,haijo
救う,save,sukuu
放出,release,houshutsu
排気,exhaust,haiki
小川,stream,ogawa
オーディション,audition,oodishon
踏む,Tread,fumu
牝馬,Mare,hinba
北陸,Hokuriku,hokuriku
水道,Water supply,suidou
登,Noboru,tou
認知,Recognition,ninchi
フィル,fill,firu
憲,Ken,nori
国籍,Country of Citizenship,kokuseki
山崎,Yamazaki,yamazaki
邸,Mansion,tei
塾,School,juku
抗争,Dispute,kousou
彫刻,Sculpture,choukoku
ディレクター,director,direkutaa
たばこ,Tobacco,tabako
マイク,Microphone,maiku
トラブル,Trouble,toraburu
低迷,Sluggish,teimei
高山,Alpine,kouzan
大衆,General public,taishuu
砲撃,Shelling,hougeki
胸,breast,mune
逃亡,Escape,toubou
全線,Whole line,zensen
氷,ice,koori
埋葬,burial,maisou
討つ,attack,utsu
旧制,old system,kyuusei
減る,decrease,heru
舎,Hut,sha
主役,Leading part,shuyaku
符号,Sign,fugou
南方,South,nanpou
開局,Started broadcasting,kaikyoku
助手,assistant,joshu
前線,front,zensen
騒動,Riot,soudou
空中,air,kuuchuu
余,More than,yo
必ずしも,necessarily,kanarazushimo
膜,film,maku
山岳,Mountain,sangaku
ミュンヘン,Munich,myunhen
徹底,Thoroughness,tettei
俺,me,ore
配給,distribution,haikyuu
長らく,long,nagara ku
八幡,Yahata,hachiman
キック,kick,kikku
行事,Event,gyouji
払う,pay,harau
ジョンソン,Johnson,jonson
オフィス,office,ofisu
故,late,yue
コンテンツ,content,kontentsu
落選,Rejected,rakusen
著,Author,cho
退役,Retired,taieki
北九州,Kitakyushu,kitakyuushuu
柏,oak,kashiwa
周期,period,shuuki
受,Received,ju
庫,Inventory,ko
クロス,cross,kurosu
交易,trade,koueki
入場,Admission,nyuujou
退任,Retirement,tainin
検出,detection,kenshutsu
金曜日,Friday,kinyoubi
トレーニング,training,toreeningu
中隊,Company,chuutai
大西洋,Atlantic Ocean,taiseiyou
キャンペーン,campaign,kyanpeen
遺体,Dead bodies,itai
インドネシア,Indonesia,indoneshia
リア,rear,ria
寧ろ,rather,mushiro
ベイ,Bay,bei
建国,Founding,kenkoku
併合,Annexation,heigou
絶滅,extinction,zetsumetsu
本当,For real,hontou
オールスター,All-Star,oorusutaa
傍,Side,bou
エア,air,ea
敷設,Laying,fusetsu
河内,Hanoi,kawauchi
外す,remove,hazusu
観点,Point of view,kanten
コンテスト,Contest,kontesuto
恵む,Show mercy to,megumu
編纂,compilation,hensan
兼任,Concurrent post,kennin
椅子,Chair,isu
マーケット,market,maaketto
指,finger,yubi
ファイナル,final,fainaru
学年,School year,gakunen
共和党,Republican,kyouwatou
史料,Historical records,shiryou
一体,Really,ittai
学問,Scholarship,gakumon
市川,Ichikawa,ichikawa
昼,Noon,hiru
四郎,Shiro,shirou
船体,Hull,sentai
前回,The last time,zenkai
タワー,Tower,tawaa
コマンド,command,komando
長編,Feature,chouhen
活,Active,katsu
化す,Change into,kasu
総務,Affairs,soumu
上京,Tokyo,joukyou
遥か,far,haruka
もし,if,moshi
あ,Ah,a
ゴールデン,Golden,gooruden
引き上げる,Pull up,hikiage ru
期限,The deadline,kigen
典型,Typical,tenkei
崇,Takashi,suu
伯爵,Earl,hakushaku
定数,constant,teisuu
馬場,Baba,baba
抜ける,Escape,nuke ru
ジョー,Joe,joo
ハート,heart,haato
かい,Or,kai
電化,Electrification,denka
菊,chrysanthemum,kiku
変動,Fluctuation,hendou
シンガー,singer,shingaa
無視,ignore,mushi
物資,Goods,busshi
航,Kou,kou
学位,degree,gakui
研修,training,kenshuu
五輪,Olympics,gorin
小倉,Ogura,ogura
揃う,Aligned,sorou
甲斐,Worth,kai
闘争,Conflict,tousou
夫婦,couple,fuufu
岡田,Okada,okada
堅い,hard,katai
氏,Mr,shi
ジェット,jet,jietto
上田,Ueda,ueda
唱える,recite,tonae ru
最中,Midst,saichuu
親しむ,Familiar,shitashimu
コントロール,Control,kontorooru
人権,human rights,jinken
中島,Nakajima,nakajima
ダウンロード,download,daunroodo
没年,Age at death,botsu nen
割り当てる,assign,wariateru
立地,Location,ritchi
バレエ,ballet,baree
死者,dead,shisha
濃度,concentration,noudo
略歴,Biography,ryakureki
融合,fusion,yuugou
特典,Privilege,tokuten
着手,Start,chakushu
ウィリアムズ,Williams,uiriamuzu
皇后,Empress,kougou
籍,Nationality,seki
村上,Murakami,murakami
師範,Teacher,shihan
ポンド,lb,pondo
シャー,Shah,shaa
教科,Subject,kyouka
限,Limited,gen
総会,The General Assembly,soukai
併設,Features,heisetsu
丘陵,Hill,kyuuryou
法則,law,housoku
注ぐ,pour it up,sosogu
議,Discussions,gi
合衆国,United States,gasshuukoku
弦,string,gen
アレンジ,arrange,arenji
プレーオフ,play off,pureeofu
入植,Settlement,nyuushoku
